RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
-0.03,20,300,28,113.25,10.4,450,0.47,0.01,0.21,79.15254237,6.21,\N,18.76,\N,\N,\N,Nonwood,cereal,\N,slow
0.04,40,300,28,113.25,10.4,450,0.47,0.01,0.21,79.15254237,6.21,\N,18.76,\N,\N,\N,Nonwood,cereal,\N,slow
0,20,0,28,113.25,10.4,450,0.47,0.01,0.21,79.15254237,6.21,\N,18.76,\N,\N,\N,Nonwood,cereal,\N,slow
0,40,0,28,113.25,10.4,450,0.47,0.01,0.21,79.15254237,6.21,\N,18.76,\N,\N,\N,Nonwood,cereal,\N,slow
0.05,20,300,28.25,116.25,10.4,450,0.47,0.01,0.21,79.15254237,4.89,\N,17.7,\N,\N,\N,Nonwood,cereal,\N,slow
0.05,40,300,28.25,116.25,10.4,450,0.47,0.01,0.21,79.15254237,4.89,\N,17.7,\N,\N,\N,Nonwood,cereal,\N,slow
-0.02,20,0,28.25,116.25,10.4,450,0.47,0.01,0.21,79.15254237,4.89,\N,17.7,\N,\N,\N,Nonwood,cereal,\N,slow
0.01,40,0,28.25,116.25,10.4,450,0.47,0.01,0.21,79.15254237,4.89,\N,17.7,\N,\N,\N,Nonwood,cereal,\N,slow
-0.11,4,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
-0.12,4,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
-0.05,4,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.13,4,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
-0.02,8,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.04,8,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.05,8,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.21,8,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.03,16,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
-0.02,16,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
-0.03,16,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.24,16,50,19.5,102,7.5,\N,0.87,0,\N,280.6451613,5.2,14,15,0.27,0.45,0.28,Wood,cereal,Medium,\N
0.17,38,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.45,76,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.54,114,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.98,38,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
1.73,76,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
1.85,114,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.57,38,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.72,76,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
0.79,114,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,4.5,\N,\N,0.67,0.05,0.28,Nonwood,cereal,Light,\N
-0.21,38,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.7,76,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.46,114,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
-0.11,38,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.39,76,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.42,114,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
-0.1,38,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.67,76,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.39,114,0,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.27,38,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.8,76,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0.85,114,50,10.75,106.75,\N,\N,\N,\N,0.45,\N,6.5,\N,\N,0.48,0.09,0.43,Nonwood,cereal,Heavy,\N
0,8,165,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
-0.02,20,165,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.16,8,170,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.24,20,170,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.14,8,156,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.27,20,156,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.54,8,159,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.87,20,159,4.25,-72.5,9.2,\N,0.73,0.01,0.05,95.92105263,3.91,11,20,\N,\N,0.42,Wood,cereal,Light,\N
0.94,10,135,0,109.5,8.75,600,0.19,\N,\N,\N,3.75,6.84,7.8,\N,\N,\N,Nonwood,cereal,Medium,slow
0.23,\N,1,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
0.57,\N,10,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
-0.07,\N,50,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
-0.79,\N,120,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
0,\N,1,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
0.02,\N,10,52.5,5.75,\N,400,\N,\N,\N,\N,4.97,14.8,22.4,0.94,0.05,0.03,Nonwood,forb,Light,slow
